pollutant;metric;vehicle_model_year;vehicle_type;vehicle_fuel_type;emission;unit;n;standarderror;nox_emission_threshold_g_per_kg_fuel;source
NOx;Mittelwert;2018;passenger car;diesel;2.502265924693133;g/kg fuel;3750;0.09339261532048601;1.6;Kanton Zürich/AWEL
NOx;Mittelwert;2018;light duty vehicle;gasoline;0.3509743782638528;g/kg fuel;80;0.13425459197899955;1;Kanton Zürich/AWEL
NOx;Mittelwert;2018;light duty vehicle;diesel;6.238141708888502;g/kg fuel;746;0.32809324377924126;1.6;Kanton Zürich/AWEL
NOx;Mittelwert;2019;passenger car;gasoline;0.3707903758474865;g/kg fuel;4867;0.027821599900945116;1;Kanton Zürich/AWEL
NOx;Mittelwert;2019;passenger car;diesel;1.0819777115604787;g/kg fuel;2819;0.053371647241239155;1.6;Kanton Zürich/AWEL
NOx;Mittelwert;2019;light duty vehicle;gasoline;0.3244445315807766;g/kg fuel;175;0.09940296317398431;1;Kanton Zürich/AWEL
NOx;Mittelwert;2019;light duty vehicle;diesel;1.3883951625170246;g/kg fuel;1314;0.13267236390081358;1.6;Kanton Zürich/AWEL
NOx;Mittelwert;2020;passenger car;gasoline;0.19825255180297183;g/kg fuel;1994;0.028170539746515837;1;Kanton Zürich/AWEL
NOx;Mittelwert;2020;passenger car;diesel;0.41902362599378423;g/kg fuel;1376;0.046660417876636086;1.6;Kanton Zürich/AWEL
NOx;Mittelwert;2020;light duty vehicle;gasoline;NA;g/kg fuel;43;NA;1;Kanton Zürich/AWEL
NOx;Mittelwert;2020;light duty vehicle;diesel;0.6382024186533846;g/kg fuel;798;0.07216491502846471;1.6;Kanton Zürich/AWEL
NOx;Mittelwert;2021;passenger car;gasoline;0.1849056852048415;g/kg fuel;1469;0.03279806467295458;1;Kanton Zürich/AWEL
NOx;Mittelwert;2021;passenger car;diesel;0.49005878492776905;g/kg fuel;555;0.06827946062514363;1.6;Kanton Zürich/AWEL
NOx;Mittelwert;2021;light duty vehicle;gasoline;0.24770910147385905;g/kg fuel;87;0.12343347306573098;1;Kanton Zürich/AWEL
NOx;Mittelwert;2021;light duty vehicle;diesel;0.28167982225550797;g/kg fuel;759;0.055214273803402505;1.6;Kanton Zürich/AWEL
NOx;Mittelwert;2022;passenger car;gasoline;0.08040266896594488;g/kg fuel;812;0.025744891108862314;1;Kanton Zürich/AWEL
NOx;Mittelwert;2022;passenger car;diesel;0.32726621430810326;g/kg fuel;453;0.05443532062436078;1.6;Kanton Zürich/AWEL
NOx;Mittelwert;2022;light duty vehicle;gasoline;0.22379655360229928;g/kg fuel;52;0.10445620086238847;1;Kanton Zürich/AWEL
NOx;Mittelwert;2022;light duty vehicle;diesel;0.3203770876816259;g/kg fuel;456;0.07166608435502843;1.6;Kanton Zürich/AWEL
NOx;Mittelwert;2023;passenger car;gasoline;0.056445791286852905;g/kg fuel;192;0.04688603759569257;1;Kanton Zürich/AWEL
NOx;Mittelwert;2023;passenger car;diesel;0.17943872107284917;g/kg fuel;113;0.08273172700819005;1.6;Kanton Zürich/AWEL
NOx;Mittelwert;2023;light duty vehicle;gasoline;NA;g/kg fuel;20;NA;1;Kanton Zürich/AWEL
NOx;Mittelwert;2023;light duty vehicle;diesel;0.24104443680617468;g/kg fuel;103;0.11846652314759085;1.6;Kanton Zürich/AWEL
NOx;Mittelwert;2024;passenger car;gasoline;NA;g/kg fuel;2;NA;1;Kanton Zürich/AWEL
NOx;Mittelwert;2024;passenger car;diesel;NA;g/kg fuel;12;NA;1.6;Kanton Zürich/AWEL
NOx;Mittelwert;2024;light duty vehicle;gasoline;NA;g/kg fuel;0;NA;1;Kanton Zürich/AWEL
NOx;Mittelwert;2024;light duty vehicle;diesel;NA;g/kg fuel;0;NA;1.6;Kanton Zürich/AWEL
