Standort;Standortklasse;Messgrösse;Einheit;Messwert;Jahr
Zürich_Wachtelstrasse;städtisch / Hintergrund;Stickstoffdioxid Jahresmittel (NO2, µg/m3);µg/m3;18.23;2019
Zürich_Wachtelstrasse;städtisch / Hintergrund;Stickstoffdioxid Jahresmittel (NO2, µg/m3);µg/m3;15.52;2020
Zürich_Wachtelstrasse;städtisch / Hintergrund;Stickstoffdioxid Jahresmittel (NO2, µg/m3);µg/m3;14.94;2021
Zürich_Wachtelstrasse;städtisch / Hintergrund;Stickstoffdioxid Jahresmittel (NO2, µg/m3);µg/m3;14.88;2022
Zürich_Eichbühlstrasse 43;städtisch / Hintergrund;Stickstoffdioxid Jahresmittel (NO2, µg/m3);µg/m3;31.88;2004
Zürich_Eichbühlstrasse 43;städtisch / Hintergrund;Stickstoffdioxid Jahresmittel (NO2, µg/m3);µg/m3;33.14;2006
Zürich_Eichbühlstrasse 43;städtisch / Hintergrund;Stickstoffdioxid Jahresmittel (NO2, µg/m3);µg/m3;29.8;2008
Zürich_Eichbühlstrasse 43;städtisch / Hintergrund;Stickstoffdioxid Jahresmittel (NO2, µg/m3);µg/m3;27.55;2012
Zürich_Eichbühlstrasse 43;städtisch / Hintergrund;Stickstoffdioxid Jahresmittel (NO2, µg/m3);µg/m3;17.48;2020
Zürich_Birchstrasse 579;städtisch / Hintergrund;Stickstoffdioxid Jahresmittel (NO2, µg/m3);µg/m3;25.44;2004
Zürich_Birchstrasse 579;städtisch / Hintergrund;Stickstoffdioxid Jahresmittel (NO2, µg/m3);µg/m3;24.51;2008
Zürich_Birchstrasse 579;städtisch / Hintergrund;Stickstoffdioxid Jahresmittel (NO2, µg/m3);µg/m3;23.91;2012
Zürich_Birchstrasse 579;städtisch / Hintergrund;Stickstoffdioxid Jahresmittel (NO2, µg/m3);µg/m3;16.33;2020
Zürich_Schulhaus Seefeld;städtisch / Hintergrund;Stickstoffdioxid Jahresmittel (NO2, µg/m3);µg/m3;25.38;2004
Zürich_Schulhaus Seefeld;städtisch / Hintergrund;Stickstoffdioxid Jahresmittel (NO2, µg/m3);µg/m3;25.38;2008
Zürich_Schulhaus Seefeld;städtisch / Hintergrund;Stickstoffdioxid Jahresmittel (NO2, µg/m3);µg/m3;22.83;2012
Zürich_Schulhaus Seefeld;städtisch / Hintergrund;Stickstoffdioxid Jahresmittel (NO2, µg/m3);µg/m3;14.51;2020
Zürich_Josefstrasse 175;städtisch / Hintergrund;Stickstoffdioxid Jahresmittel (NO2, µg/m3);µg/m3;29.69;2004
Zürich_Josefstrasse 175;städtisch / Hintergrund;Stickstoffdioxid Jahresmittel (NO2, µg/m3);µg/m3;27.99;2008
Zürich_Josefstrasse 175;städtisch / Hintergrund;Stickstoffdioxid Jahresmittel (NO2, µg/m3);µg/m3;26.5;2012
Zürich_Josefstrasse 175;städtisch / Hintergrund;Stickstoffdioxid Jahresmittel (NO2, µg/m3);µg/m3;17.6;2020
Zürich_Strandbad Mythenquai;städtisch / Hintergrund;Stickstoffdioxid Jahresmittel (NO2, µg/m3);µg/m3;30.3;2004
Zürich_Strandbad Mythenquai;städtisch / Hintergrund;Stickstoffdioxid Jahresmittel (NO2, µg/m3);µg/m3;30.31;2008
Zürich_Strandbad Mythenquai;städtisch / Hintergrund;Stickstoffdioxid Jahresmittel (NO2, µg/m3);µg/m3;28.15;2012
Zürich_Strandbad Mythenquai;städtisch / Hintergrund;Stickstoffdioxid Jahresmittel (NO2, µg/m3);µg/m3;18.56;2020
Zürich_Schulhaus Vogtsrain;städtisch / Hintergrund;Stickstoffdioxid Jahresmittel (NO2, µg/m3);µg/m3;23.73;2004
Zürich_Schulhaus Vogtsrain;städtisch / Hintergrund;Stickstoffdioxid Jahresmittel (NO2, µg/m3);µg/m3;23.28;2008
Zürich_Schulhaus Vogtsrain;städtisch / Hintergrund;Stickstoffdioxid Jahresmittel (NO2, µg/m3);µg/m3;21.95;2012
Zürich_Schulhaus Vogtsrain;städtisch / Hintergrund;Stickstoffdioxid Jahresmittel (NO2, µg/m3);µg/m3;14.6;2020
Zürich_In Böden 123;städtisch / Hintergrund;Stickstoffdioxid Jahresmittel (NO2, µg/m3);µg/m3;26.08;2004
Zürich_In Böden 123;städtisch / Hintergrund;Stickstoffdioxid Jahresmittel (NO2, µg/m3);µg/m3;25.81;2008
Zürich_In Böden 123;städtisch / Hintergrund;Stickstoffdioxid Jahresmittel (NO2, µg/m3);µg/m3;25.33;2012
Zürich_In Böden 123;städtisch / Hintergrund;Stickstoffdioxid Jahresmittel (NO2, µg/m3);µg/m3;17.05;2020
Zürich_Schulhaus Hirzenbach;städtisch / Hintergrund;Stickstoffdioxid Jahresmittel (NO2, µg/m3);µg/m3;23.83;2004
Zürich_Schulhaus Hirzenbach;städtisch / Hintergrund;Stickstoffdioxid Jahresmittel (NO2, µg/m3);µg/m3;25.8;2005
Zürich_Schulhaus Hirzenbach;städtisch / Hintergrund;Stickstoffdioxid Jahresmittel (NO2, µg/m3);µg/m3;26.47;2006
Zürich_Schulhaus Hirzenbach;städtisch / Hintergrund;Stickstoffdioxid Jahresmittel (NO2, µg/m3);µg/m3;25.51;2007
Zürich_Schulhaus Hirzenbach;städtisch / Hintergrund;Stickstoffdioxid Jahresmittel (NO2, µg/m3);µg/m3;24.41;2008
Zürich_Schulhaus Hirzenbach;städtisch / Hintergrund;Stickstoffdioxid Jahresmittel (NO2, µg/m3);µg/m3;24.64;2009
Zürich_Schulhaus Hirzenbach;städtisch / Hintergrund;Stickstoffdioxid Jahresmittel (NO2, µg/m3);µg/m3;24.72;2010
Zürich_Schulhaus Hirzenbach;städtisch / Hintergrund;Stickstoffdioxid Jahresmittel (NO2, µg/m3);µg/m3;23.74;2011
Zürich_Schulhaus Hirzenbach;städtisch / Hintergrund;Stickstoffdioxid Jahresmittel (NO2, µg/m3);µg/m3;22.54;2012
Zürich_Schulhaus Hirzenbach;städtisch / Hintergrund;Stickstoffdioxid Jahresmittel (NO2, µg/m3);µg/m3;22.08;2013
Zürich_Schulhaus Hirzenbach;städtisch / Hintergrund;Stickstoffdioxid Jahresmittel (NO2, µg/m3);µg/m3;20.46;2014
Zürich_Schulhaus Hirzenbach;städtisch / Hintergrund;Stickstoffdioxid Jahresmittel (NO2, µg/m3);µg/m3;21.23;2015
Zürich_Schulhaus Hirzenbach;städtisch / Hintergrund;Stickstoffdioxid Jahresmittel (NO2, µg/m3);µg/m3;20.49;2016
Zürich_Schulhaus Hirzenbach;städtisch / Hintergrund;Stickstoffdioxid Jahresmittel (NO2, µg/m3);µg/m3;18.28;2017
Zürich_Schulhaus Hirzenbach;städtisch / Hintergrund;Stickstoffdioxid Jahresmittel (NO2, µg/m3);µg/m3;18.14;2018
Zürich_Schulhaus Hirzenbach;städtisch / Hintergrund;Stickstoffdioxid Jahresmittel (NO2, µg/m3);µg/m3;19.43;2019
Zürich_Schulhaus Hirzenbach;städtisch / Hintergrund;Stickstoffdioxid Jahresmittel (NO2, µg/m3);µg/m3;14.39;2020
Zürich_Schulhaus Hirzenbach;städtisch / Hintergrund;Stickstoffdioxid Jahresmittel (NO2, µg/m3);µg/m3;14.3;2021
Zürich_Schulhaus Hirzenbach;städtisch / Hintergrund;Stickstoffdioxid Jahresmittel (NO2, µg/m3);µg/m3;14.13;2022
Opfikon_Kreisel Glatthof;städtisch / verkehrsbelastet;Stickstoffdioxid Jahresmittel (NO2, µg/m3);µg/m3;45.09;2011
Opfikon_Kreisel Glatthof;städtisch / verkehrsbelastet;Stickstoffdioxid Jahresmittel (NO2, µg/m3);µg/m3;44.38;2012
Opfikon_Kreisel Glatthof;städtisch / verkehrsbelastet;Stickstoffdioxid Jahresmittel (NO2, µg/m3);µg/m3;33.87;2019
Opfikon_Kreisel Glatthof;städtisch / verkehrsbelastet;Stickstoffdioxid Jahresmittel (NO2, µg/m3);µg/m3;27.57;2021
Opfikon_Kreisel Glatthof;städtisch / verkehrsbelastet;Stickstoffdioxid Jahresmittel (NO2, µg/m3);µg/m3;28.07;2022
Opfikon_Earhart-Strasse 5;städtisch / Hintergrund;Stickstoffdioxid Jahresmittel (NO2, µg/m3);µg/m3;30.34;2016
Opfikon_Earhart-Strasse 5;städtisch / Hintergrund;Stickstoffdioxid Jahresmittel (NO2, µg/m3);µg/m3;26.16;2019
Opfikon_Earhart-Strasse 5;städtisch / Hintergrund;Stickstoffdioxid Jahresmittel (NO2, µg/m3);µg/m3;22;2022
Opfikon_Hamilton-Promenade;städtisch / Hintergrund;Stickstoffdioxid Jahresmittel (NO2, µg/m3);µg/m3;26.14;2016
Opfikon_Hamilton-Promenade;städtisch / Hintergrund;Stickstoffdioxid Jahresmittel (NO2, µg/m3);µg/m3;22.71;2019
Opfikon_Dufauxstrasse 54;städtisch / Hintergrund;Stickstoffdioxid Jahresmittel (NO2, µg/m3);µg/m3;25.42;2016
Opfikon_Dufauxstrasse 54;städtisch / Hintergrund;Stickstoffdioxid Jahresmittel (NO2, µg/m3);µg/m3;22;2019
Opfikon_Boulevard Lilienthal 51;städtisch / Hintergrund;Stickstoffdioxid Jahresmittel (NO2, µg/m3);µg/m3;28.34;2016
Opfikon_Boulevard Lilienthal 51;städtisch / Hintergrund;Stickstoffdioxid Jahresmittel (NO2, µg/m3);µg/m3;24.72;2019
Höri_Pflanzgarten;ländlich / Hintergrund;Stickstoffdioxid Jahresmittel (NO2, µg/m3);µg/m3;15.7;2002
Höri_Pflanzgarten;ländlich / Hintergrund;Stickstoffdioxid Jahresmittel (NO2, µg/m3);µg/m3;17.03;2003
Höri_Pflanzgarten;ländlich / Hintergrund;Stickstoffdioxid Jahresmittel (NO2, µg/m3);µg/m3;14.85;2004
Höri_Pflanzgarten;ländlich / Hintergrund;Stickstoffdioxid Jahresmittel (NO2, µg/m3);µg/m3;15.32;2005
Höri_Pflanzgarten;ländlich / Hintergrund;Stickstoffdioxid Jahresmittel (NO2, µg/m3);µg/m3;16.65;2006
