empfindl. Ökosystem;Überschreitung Critical Load;Anteil an Ökosystem-Gesamtfläche
Flachmoore;8.14188;0.166174298375185
Flachmoore;8.14414;0.166912850812408
Wald;8.14827;0.4136460554371
Flachmoore;8.148748;0.167651403249631
Flachmoore;8.196905;0.168389955686854
Flachmoore;8.2150345;0.169128508124077
Wald;8.217518;0.415778251599147
Wald;8.234626;0.417910447761194
Flachmoore;8.241774;0.1698670605613
Flachmoore;8.25613;0.170605612998523
Flachmoore;8.286774;0.171344165435746
Flachmoore;8.287418;0.172082717872969
Wald;8.2884035;0.420042643923241
Flachmoore;8.291256;0.172821270310192
Flachmoore;8.294624;0.173559822747415
Flachmoore;8.303183;0.174298375184638
Wald;8.307651;0.422174840085288
Flachmoore;8.347717;0.175036927621861
Flachmoore;8.349604;0.175775480059084
Flachmoore;8.358601;0.176514032496307
Trockenwiesen/-weiden;8.38439;0.79746835443038
Flachmoore;8.393009;0.17725258493353
Wald;8.41271;0.424307036247335
Flachmoore;8.432531;0.177991137370753
Wald;8.45982;0.426439232409382
Wald;8.4606;0.428571428571429
Wald;8.476625;0.430703624733475
Flachmoore;8.479927;0.178729689807976
Wald;8.501183;0.432835820895522
Flachmoore;8.52582;0.179468242245199
Flachmoore;8.541109;0.180206794682422
Flachmoore;8.551903;0.180945347119645
Flachmoore;8.5568695;0.181683899556869
Wald;8.570464;0.434968017057569
Flachmoore;8.575552;0.182422451994092
Flachmoore;8.585033;0.183161004431315
Wald;8.612089;0.437100213219616
Flachmoore;8.6227455;0.183899556868538
Trockenwiesen/-weiden;8.640722;0.810126582278481
Flachmoore;8.648743;0.184638109305761
Wald;8.651412;0.439232409381663
Wald;8.661659;0.44136460554371
Flachmoore;8.671085;0.185376661742984
Wald;8.676989;0.443496801705757
Wald;8.691878;0.445628997867804
Trockenwiesen/-weiden;8.693218;0.822784810126582
Flachmoore;8.703934;0.186115214180207
Wald;8.73718;0.447761194029851
Flachmoore;8.73896;0.18685376661743
Wald;8.762419;0.449893390191898
Wald;8.768232;0.452025586353945
Flachmoore;8.7705765;0.187592319054653
Wald;8.804262;0.454157782515991
Trockenwiesen/-weiden;8.81278;0.835443037974684
Trockenwiesen/-weiden;8.823267;0.848101265822785
Wald;8.851058;0.456289978678038
Wald;8.85235;0.458422174840085
Trockenwiesen/-weiden;8.853613;0.860759493670886
Flachmoore;8.858761;0.188330871491876
