year;geodb_oid;bfs;municipality;admin_boundary;parameter;unit;pop_weighted_mean;source
2015;2969;72;Winkel;municipality;PM2.5;μg/m3;9.641763759247718;OSTLUFT, BAFU, BFS
2015;2970;51;Bachenbülach;municipality;PM2.5;μg/m3;9.89439350505208;OSTLUFT, BAFU, BFS
2015;2971;294;Elgg;municipality;PM2.5;μg/m3;9.167228937198937;OSTLUFT, BAFU, BFS
2015;2972;101;Steinmaur;municipality;PM2.5;μg/m3;9.65110975886513;OSTLUFT, BAFU, BFS
2015;2973;60;Höri;municipality;PM2.5;μg/m3;9.87663141763275;OSTLUFT, BAFU, BFS
2015;2974;219;Elsau;municipality;PM2.5;μg/m3;9.54843362861866;OSTLUFT, BAFU, BFS
2015;2975;224;Pfungen;municipality;PM2.5;μg/m3;9.731101824077594;OSTLUFT, BAFU, BFS
2015;2976;99;Schöfflisdorf;municipality;PM2.5;μg/m3;9.45251816834332;OSTLUFT, BAFU, BFS
2015;2977;98;Schleinikon;municipality;PM2.5;μg/m3;9.27321015329072;OSTLUFT, BAFU, BFS
2015;2978;88;Neerach;municipality;PM2.5;μg/m3;9.52260811313305;OSTLUFT, BAFU, BFS
2015;2979;61;Hüntwangen;municipality;PM2.5;μg/m3;9.196334529615722;OSTLUFT, BAFU, BFS
2015;2980;291;Andelfingen;municipality;PM2.5;μg/m3;9.400083912193;OSTLUFT, BAFU, BFS
2015;2981;70;Wasterkingen;municipality;PM2.5;μg/m3;9.096660756818604;OSTLUFT, BAFU, BFS
2015;2982;33;Kleinandelfingen;municipality;PM2.5;μg/m3;9.588641438834228;OSTLUFT, BAFU, BFS
2015;2983;71;Wil (ZH);municipality;PM2.5;μg/m3;9.22017382016685;OSTLUFT, BAFU, BFS
2015;2984;67;Rafz;municipality;PM2.5;μg/m3;9.343583174666373;OSTLUFT, BAFU, BFS
2015;2985;37;Ossingen;municipality;PM2.5;μg/m3;9.323159407284926;OSTLUFT, BAFU, BFS
2015;2986;41;Truttikon;municipality;PM2.5;μg/m3;9.075055871260794;OSTLUFT, BAFU, BFS
2015;2987;35;Marthalen;municipality;PM2.5;μg/m3;9.373706576619426;OSTLUFT, BAFU, BFS
2015;2988;38;Rheinau;municipality;PM2.5;μg/m3;9.146406085448277;OSTLUFT, BAFU, BFS
2015;2989;40;Trüllikon;municipality;PM2.5;μg/m3;9.14330194432448;OSTLUFT, BAFU, BFS
2015;2990;292;Stammheim;municipality;PM2.5;μg/m3;9.196585633561051;OSTLUFT, BAFU, BFS
2015;2991;22;Benken (ZH);municipality;PM2.5;μg/m3;9.245386568056484;OSTLUFT, BAFU, BFS
2015;2992;25;Dachsen;municipality;PM2.5;μg/m3;9.222931627420852;OSTLUFT, BAFU, BFS
2015;2993;34;Laufen-Uhwiesen;municipality;PM2.5;μg/m3;9.078587489928845;OSTLUFT, BAFU, BFS
2015;2994;29;Flurlingen;municipality;PM2.5;μg/m3;9.554174305759071;OSTLUFT, BAFU, BFS
2015;2995;27;Feuerthalen;municipality;PM2.5;μg/m3;9.218994636645263;OSTLUFT, BAFU, BFS
