year;site;site_long;source;siteclass;ecosystem_category;critical_load_min;critical_load_single;critical_load_max;parameter;unit;value
2020;AEG;Knonau-Ägelsee;OSTLUFT;hoch;Hochmoor;5;5;10;aus NOx-Quellen;kg-N/ha/a;4.955512358759353
2020;AEG;Knonau-Ägelsee;OSTLUFT;hoch;Hochmoor;5;5;10;aus NH3-Quellen;kg-N/ha/a;18.987390667625796
2020;AEG;Knonau-Ägelsee;OSTLUFT;hoch;Hochmoor;5;5;10;N-Deposition;kg-N/ha/a;23.9429030263852
2020;AEG;Knonau-Ägelsee;OSTLUFT;hoch;Wald;5;10;20;aus NOx-Quellen;kg-N/ha/a;7.074133847673034
2020;AEG;Knonau-Ägelsee;OSTLUFT;hoch;Wald;5;10;20;aus NH3-Quellen;kg-N/ha/a;23.173696482337743
2020;AEG;Knonau-Ägelsee;OSTLUFT;hoch;Wald;5;10;20;N-Deposition;kg-N/ha/a;30.2478303300108
2020;BA;Hinwil-Bachtel Sennenberg;OSTLUFT;hoch;Trockenrasen;15;15;25;aus NOx-Quellen;kg-N/ha/a;4.379869707489442
2020;BA;Hinwil-Bachtel Sennenberg;OSTLUFT;hoch;Trockenrasen;15;15;25;aus NH3-Quellen;kg-N/ha/a;14.286637424737078
2020;BA;Hinwil-Bachtel Sennenberg;OSTLUFT;hoch;Trockenrasen;15;15;25;N-Deposition;kg-N/ha/a;18.6665071322265
2020;BA;Hinwil-Bachtel Sennenberg;OSTLUFT;hoch;Wald;5;10;20;aus NOx-Quellen;kg-N/ha/a;5.293043939664359
2020;BA;Hinwil-Bachtel Sennenberg;OSTLUFT;hoch;Wald;5;10;20;aus NH3-Quellen;kg-N/ha/a;23.951188800619157
2020;BA;Hinwil-Bachtel Sennenberg;OSTLUFT;hoch;Wald;5;10;20;N-Deposition;kg-N/ha/a;29.2442327402835
2020;TAB;Tablat-Risihölzli;OSTLUFT;mittel;Trockenrasen;15;15;25;aus NOx-Quellen;kg-N/ha/a;4.858442970867182
